"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"352","C5AR2",6.51356740032095,1.47455650886673,0.740986109239996,5.70752334912815e-05,0.000414087474587151
"353","TBX3",311.368878055356,-0.675294277926054,0.29689323120844,0.000174185534008563,0.00106332002198339
"354","HILPDA",1071.71070847103,0.957442913052811,0.608695304077635,0.000396672483740807,0.00213354928357838
"355","PRR5L",263.311100582676,0.515073768151388,0.16708374368931,1.47908943444668e-05,0.000133406865380301
"356","PRPH",150.726143075827,1.01350587594612,0.233410058925832,2.68411082012692e-07,4.29788560103316e-06
"357","AVIL",19.1956819296042,0.539784235646544,0.288075107248435,0.000749320790972355,0.0036156685080062
"358","DYSF",21.0483801227727,0.5446052588861,0.338862105498514,0.00145333897637443,0.00631866686163019
"359","CPM",107.369119565335,-0.633290094213677,0.218463258623869,2.48494055326093e-05,0.000205523325303073
"360","FBXL8",28.5412280554754,0.747539735606804,0.392493557131679,0.000386704013272758,0.002088037291646
"361","AGT",1326.4980713636,0.862644089870407,0.262733438258051,8.78568567769183e-06,8.51909712373133e-05
"362","PLXNC1",140.300195323657,0.683572411097037,0.134163639354842,2.74800604148158e-09,7.87365715983151e-08
"363","PCDH8",66.5885625616417,2.69481702841693,0.46073420425713,1.39347593042173e-11,7.7239104026976e-10
"364","LMO7",1405.29269343991,-0.537407152553925,0.158571416361697,4.06447323157932e-06,4.47650039515633e-05
"365","GPNMB",3317.02042498177,0.514370944768603,0.325776820092098,0.0017637107049971,0.00740543312993869
"366","IL6",344.166541033753,2.31364953137467,0.330632721084564,3.05430733763771e-14,3.27864836250786e-12
"367","IL10",6.49078963847041,0.90369174935747,0.775205154207129,0.000687349648019661,0.00337106521388793
"368","IL36RN",230.717912770163,2.09248031266874,0.590945577193774,8.08062845807833e-07,1.11166985186361e-05
"369","IL36B",177.564512348981,2.62397278425875,0.425704693192498,2.92325415768509e-12,1.88810013244042e-10
"370","KLF4",129.686244729012,0.551791748992333,0.264655255674351,0.000394139292825892,0.00212217069605972
"371","TMOD1",570.647533801101,0.597110837613647,0.433913790681243,0.00189036295480299,0.0078493060528635
"372","ENPP2",41.0825170494779,1.30000755738745,0.359244601610705,1.86050517488867e-06,2.30379206992917e-05
"373","SLC22A23",2179.34892055562,0.716433330400341,0.135694110449181,1.46904606652676e-09,4.42412313409143e-08
"374","IER3",871.968337804842,1.2673791922366,0.234818034206478,1.0676684116143e-09,3.36249371864397e-08
"375","FGFBP2",10.7487508758001,2.07691787607268,0.583541786948916,7.89486812947822e-07,1.08807843487917e-05
"376","TLR2",17.5794142004595,1.06228571542677,0.382399045740359,2.74689414367219e-05,0.000223430669327616
"377","IL18BP",179.665391608664,0.599982298962963,0.116407672222487,9.72299755764603e-10,3.1005784889372e-08
"378","PI15",53.5437312142542,0.687574606390606,0.333304098269584,0.000302675959777736,0.0016962094319456
"379","SULF1",869.386789195937,0.516286461753121,0.388507469620062,0.00295343320428889,0.0113113523449687
"380","SORL1",4008.42814592715,0.692178634692565,0.136547634536751,3.39844011211982e-09,9.4702783599712e-08
"381","ARHGAP20",142.689541955882,0.527376640415956,0.212180077383177,0.000120595692213188,0.000783563570505383
"382","MMP13",34.111263648767,2.72641999980279,0.295698961324901,1.37842318505793e-22,9.13534983036436e-20
"383","CYP1B1",3616.3357907413,0.97407276288682,0.356238063982348,3.55059053163853e-05,0.000277689335422094
"384","STAMBPL1",183.512251006822,-0.591651109121178,0.245436251252883,0.000130997144640337,0.000839692798886739
"385","RBP4",12.9813942642956,1.71615899037645,0.535829233334516,3.31100396931468e-06,3.74681763209084e-05
"386","AOX1",361.067585285887,-2.79505093830523,0.435295692715686,2.97408365141689e-13,2.53262330159484e-11
"387","CDK15",3.48871379377704,-0.577249816638901,0.654069047495066,0.00296057130071358,0.0113329955642333
"388","SEMA7A",852.539867372569,-1.13885160967417,0.2320593301987,2.00305523060387e-08,4.51665249705544e-07
"389","FGF5",404.844261523708,-1.08065054825333,0.2467632536923,2.12423128058371e-07,3.50808856012323e-06
"390","CCNG2",657.883058944782,0.626299252892976,0.173794058529168,1.73588695368371e-06,2.17778805226343e-05
"391","EGF",161.192679523069,0.600154589458864,0.125027451431414,6.37256513285796e-09,1.64082787702963e-07
"392","GABARAPL1",572.9680810233,0.590836807067872,0.170963527181418,2.97180343207205e-06,3.40595486579505e-05
"393","C1RL",491.00541435511,0.859395304519651,0.119492477583741,4.80972585336253e-14,5.02155145087705e-12
"394","CLSTN3",563.728261978437,0.73553217248057,0.123580993063105,4.64384138733588e-11,2.2259771782126e-09
"395","VAMP1",319.795297118217,0.853938665935953,0.328299515026254,5.85108765752628e-05,0.000423897952298827
"396","AMIGO2",5040.50884790596,0.515911118424792,0.138299330243267,1.03232702989364e-06,1.38397193638247e-05
"397","N4BP2L1",81.3315097115989,0.654506891854207,0.18716633929586,2.85699322110093e-06,3.28921054903637e-05
"398","RAB20",167.913787394205,1.51483540172278,0.245603231805429,5.10329373378184e-12,3.1240765616079e-10
"399","ESR2",859.590533879858,0.617351148483785,0.23461837000557,6.18460543917376e-05,0.000444050592130597
"400","FBLN5",298.266719778954,-0.616909401077886,0.288360906677799,0.000284138267148314,0.00161187927284769
"401","GCNT3",8.2971134689908,1.31601623042716,0.474021762900827,1.71722586643645e-05,0.000150781531578864
"402","CYP1A1",156.008705700302,1.55230737833611,0.385216913960652,3.02842789721182e-07,4.79857863172554e-06
"403","HAPLN3",69.6243446035323,0.868820829139782,0.152338868168405,4.87852456693202e-10,1.70800859005592e-08
"404","MCTP2",256.215120340194,0.657318282901499,0.512705640066732,0.00169786091891037,0.00717158532377881
"405","NOL3",404.384689001144,0.541421643002074,0.197359892806232,4.73860122643811e-05,0.000353015425897234
"406","ARSG",75.8237696123447,0.690433094391191,0.221806201382435,1.25064158433234e-05,0.000115187490453038
"407","CCDC40",45.2128378712292,0.500399015758991,0.203306056434994,0.000146243453902834,0.000921914378759678
"408","SECTM1",121.501019158467,1.01740454699445,0.119542286910655,1.32888837167294e-18,4.05124908988212e-16
"409","STAC2",56.400414423387,1.7128164562781,0.412409630437613,1.63219243995733e-07,2.77983344829828e-06
"410","IGFBP4",396.150526890567,0.527298124541908,0.0922223898664122,3.01178512075135e-11,1.52015366210639e-09
"411","IL19",12.5958585617089,1.44418100094281,0.59892006746379,2.96210096402373e-05,0.000238139794275389
"412","CASQ1",2.42428328952983,-0.556467705135989,0.68160521545945,0.00301808289997722,0.0115126720831713
"413","RGS16",602.206148988937,0.509691301840345,0.225674772196412,0.000270079809911419,0.00154767915130818
"414","TUFT1",726.666875696473,-0.681589676519408,0.131606990715003,1.75229305589322e-09,5.21683653339459e-08
"415","ADAMTSL4",43.4685713014818,0.848641368459476,0.172035886814937,1.94545847975914e-08,4.41289041770367e-07
"416","CTSK",150.703535037614,0.66391192228968,0.133724518087703,4.43917503619939e-09,1.19130889219696e-07
"417","EFNA3",64.2018721760123,0.990278398424799,0.299624746699503,7.84573457519571e-06,7.7556765324065e-05
"418","ITPKB",4142.26316858951,0.714673686397043,0.0921256760163209,1.96943347215397e-16,3.61687643566783e-14
"419","EPHX1",1167.66055885675,0.517128999805496,0.179148530645494,3.06451660266334e-05,0.000244952420421591
"420","PPFIA4",159.807565753421,2.41649559774666,0.453620850851306,5.13003543976775e-10,1.7772075047359e-08
"421","PLEKHA6",178.588609863641,0.543973043237344,0.273546941671361,0.000535256562030677,0.00273056083501794
"422","RHOB",949.505034647961,0.64861004892764,0.177848759455529,1.55609765464863e-06,1.98656587519339e-05
"423","SCN1A",36.0273122931268,2.56404116731455,0.29898455575112,8.73186795635383e-20,3.50262798049214e-17
"424","TMEFF2",378.174161341031,-0.805243775937402,0.185896337343667,2.04116216300357e-07,3.38557506536054e-06
"425","MARCHF4",315.384982993941,-1.16774116994885,0.120941693346491,1.46924773726331e-23,1.17872332942656e-20
"426","GRIP2",4.09317591250496,0.523705171169901,0.632682739607067,0.00387460819531958,0.0141632260722437
"427","ITGA9",225.009357699858,0.783254488457264,0.493647190646103,0.000663615518126647,0.00327150431526665
"428","PHLDB2",445.586669658955,-0.639576678640513,0.100840311994656,1.24975549503752e-12,8.86047581900325e-11
"429","BOC",1574.7993348095,0.831808581979404,0.240172586880256,4.91089382846296e-06,5.2274269991104e-05
"430","AMT",17.8431352306921,0.53090114292791,0.380823505016422,0.00244044016965626,0.00966977632078774
"431","EPHA5",346.591286859241,0.778366078449212,0.100430077820081,4.76462231854504e-16,7.64496189490337e-14
"432","DDIT4L",87.7584041158971,1.73103599647836,0.378270906351532,2.76136003736822e-08,5.9535234865069e-07
"433","SFRP2",366.838688000481,0.768776924161828,0.0739343574009595,1.99244161965539e-26,2.53089896736726e-23
"434","CYP4V2",279.644062971834,0.55914724151579,0.122899963977101,1.99726217049716e-08,4.5131871399328e-07
"435","HAPLN1",24.7976769424767,1.12557367266182,0.494789938494512,7.35095388708367e-05,0.000517077019385401
"436","CRHBP",13.8914044071832,-0.659141366855325,0.429382440133033,0.00110898732763008,0.00502058028959467
"437","PAM",4951.32982626902,0.532354886557523,0.0821894122906192,2.20380681371557e-13,1.93061076215324e-11
"438","C1QTNF2",38.3325643807168,-0.595820919543919,0.267659498212668,0.000230271735279359,0.00135313495021714
"439","DAAM2",87.031845492967,1.06940686554098,0.354824242761151,1.5202322827124e-05,0.000136793982794482
"440","PRSS35",32.156789173508,0.517241450649793,0.418589063282679,0.0034329999162399,0.0128100900179302
"441","PNRC1",546.754117854462,0.96793373421427,0.132189487668156,1.96205176710899e-14,2.21044167198184e-12
"442","PM20D2",739.94614240292,-0.654206991729338,0.0950778317857863,4.28735839946225e-14,4.53834750576411e-12
"443","IGFBP3",11682.8915208023,1.89146114344062,0.158102678423576,7.49715260050145e-35,1.42848871361804e-31
"444","SPIN2A",7.31681878266231,0.687240095705012,0.510942215676324,0.001379182102521,0.00604279183349458
"445","CCDC120",87.2499995154997,0.643938901497374,0.182225494248839,2.40495442822581e-06,2.85726581055698e-05
"446","NSDHL",1300.8506885059,-0.627047578401014,0.0793786691954577,1.39480139921478e-17,3.48540290626737e-15
"447","ZNF185",512.558872932545,-1.10471209489992,0.336059763285402,6.99345143597692e-06,7.07373458782988e-05
"448","GNRH1",13.4923320620347,0.655154384965586,0.312826196447922,0.000297721958799707,0.00167336866444835
"449","MAL2",68.8808315342351,1.36103876060668,0.18773708020017,4.48993135183757e-15,5.70333529967167e-13
"450","VLDLR",545.060707549708,0.870667443137693,0.233312443550027,2.15715567347713e-06,2.60344607528202e-05
